name,alt_name,swatch_image_url,path_to_image,path_to_returned_color,most_common_hex,most_common_rgb
Jaune Brilliant,#6000463,https://goldenhub.goldenpaints.com/storage/uploads/Jaune_Brilliant_Swatch.jpg,./images/jaune_brilliant_swatch.jpg,./returned_colors/jaune_brilliant_returned.jpg,#ecbd6a,"[236, 189, 106]"
King's Blue,#6000813,https://goldenhub.goldenpaints.com/storage/uploads/King's_Blue_Swatch.jpg,./images/king's_blue_swatch.jpg,./returned_colors/king's_blue_returned.jpg,#5d9acf,"[93, 154, 207]"
Lamp Black,#6001761,https://goldenhub.goldenpaints.com/storage/uploads/Lamp_Black_Swatch.jpg,./images/lamp_black_swatch.jpg,./returned_colors/lamp_black_returned.jpg,#1b2122,"[27, 33, 34]"
Manganese Violet,#6000704,https://goldenhub.goldenpaints.com/storage/uploads/Manganese_Violet_Swatch.jpg,./images/manganese_violet_swatch.jpg,./returned_colors/manganese_violet_returned.jpg,#322246,"[50, 34, 70]"
Mars Black,#6001742,https://goldenhub.goldenpaints.com/storage/uploads/Mars_Black_Swatch.jpg,./images/mars_black_swatch.jpg,./returned_colors/mars_black_returned.jpg,#141d1f,"[20, 29, 31]"
Mars Orange,#6001382,https://goldenhub.goldenpaints.com/storage/uploads/Mars_Orange_Swatch.jpg,./images/mars_orange_swatch.jpg,./returned_colors/mars_orange_returned.jpg,#7e4227,"[126, 66, 39]"
Mars Red,#6001422,https://goldenhub.goldenpaints.com/storage/uploads/Mars_Red_Swatch.jpg,./images/mars_red_swatch.jpg,./returned_colors/mars_red_returned.jpg,#5f281d,"[95, 40, 29]"
Mars Red Light,#6001402,https://goldenhub.goldenpaints.com/storage/uploads/Mars_Red_Light_Swatch.jpg,./images/mars_red_light_swatch.jpg,./returned_colors/mars_red_light_returned.jpg,#763926,"[118, 57, 38]"
Mars Violet,#6001442,https://goldenhub.goldenpaints.com/storage/uploads/Mars_Violet_Swatch.jpg,./images/mars_violet_swatch.jpg,./returned_colors/mars_violet_returned.jpg,#4d241e,"[77, 36, 30]"
Mars Yellow Deep,#6001362,https://goldenhub.goldenpaints.com/storage/uploads/Mars_Yellow_Deep_Swatch.jpg,./images/mars_yellow_deep_swatch.jpg,./returned_colors/mars_yellow_deep_returned.jpg,#9f7127,"[159, 113, 39]"
Mars Yellow Light,#6001342,https://goldenhub.goldenpaints.com/storage/uploads/Mars_Yellow_Light_Swatch.jpg,./images/mars_yellow_light_swatch.jpg,./returned_colors/mars_yellow_light_returned.jpg,#a07a3a,"[160, 122, 58]"
Montserrat Orange,#6000583,https://goldenhub.goldenpaints.com/storage/uploads/Montserrat_Orange_Swatch.jpg,./images/montserrat_orange_swatch.jpg,./returned_colors/montserrat_orange_returned.jpg,#d98e55,"[217, 142, 85]"
Naples Yellow,#6000442,https://goldenhub.goldenpaints.com/storage/uploads/Naples_Yellow_Swatch.jpg,./images/naples_yellow_swatch.jpg,./returned_colors/naples_yellow_returned.jpg,#cfb151,"[207, 177, 81]"
Naples Yellow Italian,#6000461,https://goldenhub.goldenpaints.com/storage/uploads/Naples_Yellow_Italian_Swatch-1.jpg,./images/naples_yellow_italian_swatch.jpg,./returned_colors/naples_yellow_italian_returned.jpg,#e9c054,"[233, 192, 84]"
Naples Yellow Reddish,#6000422,https://goldenhub.goldenpaints.com/storage/uploads/Naples_Yellow_Reddish_Swatch.jpg,./images/naples_yellow_reddish_swatch.jpg,./returned_colors/naples_yellow_reddish_returned.jpg,#dd9951,"[221, 153, 81]"
Nickel Azo Yellow,#6001928,https://goldenhub.goldenpaints.com/storage/uploads/Nickel_Azo_Yellow_Swatch.jpg,./images/nickel_azo_yellow_swatch.jpg,./returned_colors/nickel_azo_yellow_returned.jpg,#2d241a,"[45, 36, 26]"
Nickel Yellow,#6000224,https://goldenhub.goldenpaints.com/storage/uploads/Nickel_Yellow_Swatch.jpg,./images/nickel_yellow_swatch.jpg,./returned_colors/nickel_yellow_returned.jpg,#e7dd69,"[231, 221, 105]"
Olive Green,#6000322,https://goldenhub.goldenpaints.com/storage/uploads/Olive_Green_Swatch.jpg,./images/olive_green_swatch.jpg,./returned_colors/olive_green_returned.jpg,#4f671b,"[79, 103, 27]"
Payne's Gray,#6001703,https://goldenhub.goldenpaints.com/storage/uploads/Payne's_Grey_Swatch.jpg,./images/payne's_gray_swatch.jpg,./returned_colors/payne's_gray_returned.jpg,#171f27,"[23, 31, 39]"
Payne's Gray (Violet),#6001063,https://goldenhub.goldenpaints.com/storage/uploads/Payne's_Grey_(Violet)_Swatch.jpg,./images/payne's_gray_(violet)_swatch.jpg,./returned_colors/payne's_gray_(violet)_returned.jpg,#1d2126,"[29, 33, 38]"
